,text
0,"@temporalthought No hehe I mean when you order from Honestbee, they put your order in a  ecobag. Yung foodpanda walang ganung pauso."
1,@BikashT61610948 @BhuwaniaAkash @Zomato @ZomatoIN @JagoGrahakJago_ @jagograhakjago @BharatCourt We are trying to re… https://t.co/tvr3REqXWj
2,@zomatocare @BhuwaniaAkash @Zomato @ZomatoIN @JagoGrahakJago_ @jagograhakjago @BharatCourt 7003677593
3,RT @swiggy_in: Get 50% off on your first 3 Swiggy orders! Use code GRAB50 at checkout. Max. discount: ₹100/order. TCA.  https://t.co/bk2m2u…
4,"Never use @Zomato food service, they deliver worst quality food and there help desk executive had no politness.… https://t.co/0vM6OJadjP"
5,"@zomatocare @ZomatoIN Hi, I want a refund for my Zomato gold membership, I bought it at a separate set of T&amp;C's we… https://t.co/SV7lyOfZI6"
6,"@SwiggyCares horrible experience with swiggy today. Received bad quality food from subway,  Had a word with custome… https://t.co/AzD70AKYWd"
7,Very bad service.
8,Is the policy change even allowed after PPL buy Zomato Gold membership? @ZomatoIN https://t.co/aEULlvQEIc
9,RT @kinlag: ส่งฟรีมีอยู่จริง!กับไก่ทอดร้านโปรด @bonchonthailand เพียงแค่เข้าแอพ Foodpanda กดสั่งแล้วรอสักแปปไก่ร้อนๆก็จัดส่งถึงหน้าบ้านเลย…
10,The most amazing food delivery app I have never seen bz it doesn't deliver the food even after 4hrs of order. You m… https://t.co/YektX1TGdx
11,"Here's my review of Papaji &amp; Sons, Paschim Vihar on @Zomato! 
https://t.co/PIPl86beFD"
12,"RT @swiggy_in: When hunger tweets, we’ll help you handle it. Get the Swiggy app now!  https://t.co/CRMVC7HXBW"
13,"In those situations, I usually open the Swiggy app at 1am and order something that I'll regret the next morning."
14,Aajkal Youtube kholta hoon toh aisa lagta hai Zomato ki site khol raha hoon 😏
15,"Was scrolling through foodpanda, but couldn't decide what to eat so I closed the app. Dia keluar notification ni ay… https://t.co/U3Er9gbs8a"
16,"@CatchDoon @Zomato @ZomatoIN @zomatocare Hi AD, We are sorry to hear this. We would like to assure you that we have… https://t.co/cAmwecsZVf"
17,@SwiggyCares @harshamjty you guys are really good at spoiling some ones occassion.I have been cheated by you If you… https://t.co/AHCwR7AVYO
18,RT @AkashVe51269968: @SwiggyCares @harshamjty you guys are really good at spoiling some ones occassion.I have been cheated by you If you ar…
19,I don’t know why I choose swiggy for spoiling my Birth Day
20,"Always knew that @ZomatoIN
@Zomato sucks! Fucking up their delivery boys by not paying them appropriately as promis… https://t.co/oXITmvlxI7"
21,"RT @inazeyy: Antara sites yang famous orang shop:

Hermo Sephora FV Zalora Agoda Lazada Traveloka Foodpanda Fave

Reload pun boleh!! https:…"
22,"@foodpandaIndia Still NO RESPONSE!!!
I sent my order ID as asked but nothing!!
After being a loyal customer for mor… https://t.co/A1p7urrwJe"
23,RT @swiggy_in: Get 50% off on your first Swiggy order! Use code BINGE50. No Minimum order value. Max. discount: ₹100/order. TCA.  https://t…
24,"Check out 'Old fashioned' - a cocktail with a twist at Headlines 😎 🍹
.
For more, check out the Editor’s Notes on th… https://t.co/1TU1SIsfnR"
25,@CatchDoon @Zomato @ZomatoIN @zomatocare When was this change announced? I’m a gold member and happy to see the inc… https://t.co/sJEZwcDRmu
26,"Cooking is a basic life skill which should be mastered by all irrespective of age or gender, to take of self!!!"
27,"Good bye @FoodPandapk 
Worst customer support. 
My last few orders were delivered after 90 mins, upon inquiry I got… https://t.co/STlmkMZMDs"
28,"@aurAdil We truly believe that customers are our first priority to be taken care of, do share us your order code an… https://t.co/5G3hy2Xz73"
29,"RT @eatraveleternal: Here's my review of Punjab Grill, Bandra Kurla Complex on @Zomato! 
https://t.co/kn4hify0DF"
30,No response till now
